Entertainer,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death,images,Award Won from Breakthrough,Total Awards won,Total Nominees,Profession,Oscar Won,Grammy Won,Emmy Won,Other Awards 
Adele,F,1988,2008,19,2009,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/5/52/Adele_for_Vogue_in_2021.png,Grammy,32,64,Singer,1,15,0,16
Angelina Jolie,F,1975,1999,"Girl, Interrupted",1999,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/c/c3/Angelina_Jolie_at_the_U.S._Department_of_State_in_Washington%2C_D.C._in_2022.jpg,Oscar,58,174,Actor,1,0,0,57
Aretha Franklin,F,1942,1967,I Never Loved a Man (The Way I Love You),1968,2014,Not Dead,https://upload.wikimedia.org/wikipedia/commons/c/c6/Aretha_Franklin_1968.jpg,No Award,29,67,Singer,0,20,0,9
Bette Davis,F,1908,1934,Of Human Bondage,1935,1989,1989,https://upload.wikimedia.org/wikipedia/commons/4/46/BetteDavis1935.jpg,No Award,34,57,Actor,2,0,1,31
Betty White,F,1922,1952,Life with Elilzabeth,1976,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/6/6a/Betty_White_1988_Emmy_Awards_%28cropped_2%29.jpg,Emmy,39,79,Actor,0,2,5,32
Bing Crosby,M,1903,1931,Several Songs,1962,1974,1977,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bing_Crosby_Paramount_Pictures.jpg,Grammy,18,27,Singer,1,1,0,16
Bob Hope,M,1903,1938,The Big Broadcast of 1938,1940,1972,2003,https://upload.wikimedia.org/wikipedia/commons/2/2f/Bob_Hope_1969_Publicity_Photo.jpg,No Award,39,49,Actor,0,0,1,38
Carol Burnett,F,1933,1959,The Garry Moore Show,1962,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/f/f9/Carol_Burnett_1973_%28cropped%29.JPG,Emmy,49,99,Actor,0,1,6,42
Carole Lombard,F,1908,1934,Twentieth Century,No Awards Won,1942,1942,https://upload.wikimedia.org/wikipedia/commons/6/63/Carole_Lombard_1940.jpg,No Award,1,2,Actor,0,0,0,1
Carrie Fisher,F,1956,1977,Star Wars,No Awards Won,2016,2016,https://upload.wikimedia.org/wikipedia/commons/0/03/Carrie_Fisher_2013-a_straightened.jpg,Other,7,27,Actor,0,1,0,6
Cary Grant,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970,1966,1986,https://upload.wikimedia.org/wikipedia/commons/2/27/Grant%2C_Cary_%28Suspicion%29_01_Crisco_edit.jpg,No Award,12,34,Actor,0,0,0,12
Charlie Chaplin,M,1889,1915,The Tramp,1929,1967,1977,https://upload.wikimedia.org/wikipedia/commons/3/34/Charlie_Chaplin_portrait.jpg,No Award,24,34,Actor,1,0,0,23
Clara Bow,F,1905,1926,Mantrap,No Awards Won,1933,1965,https://upload.wikimedia.org/wikipedia/commons/2/26/ClaraBow2.1.jpg,No Award,1,1,Actor,0,0,0,1
Clark Gable,M,1901,1934,It Happened One Night,1934,1960,1960,https://upload.wikimedia.org/wikipedia/commons/3/3a/Clark_Gable_-_publicity.JPG,Oscar,4,10,Actor,1,0,0,3
David Letterman,M,1947,1982,Late Night with David Letterman,1981,2015,Not Dead,https://upload.wikimedia.org/wikipedia/commons/b/b7/David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg,Emmy,20,98,Actor,0,0,7,13
Debbie Reynolds,F,1932,1952,Singin' in the Rain,No Awards Won,2006,2016,https://upload.wikimedia.org/wikipedia/commons/0/0f/Debbie_Reynolds_6_Allan_Warren.jpg,Other,20,57,Actor,0,0,0,20
Denzel Washington,M,1954,1989,Glory,1989,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/40/Denzel_Washington_2018.jpg,Oscar,86,273,Actor,2,0,0,84
Dick Van Dyke,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,2015,Not Dead,https://upload.wikimedia.org/wikipedia/commons/7/72/Dick_Van_Dyke_by_Gage_Skidmore_5.jpg,Emmy,21,41,Actor,0,1,5,15
Donald Sutherland,M,1935,1967,The Dirty Dozen,1995,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/1/1d/Donald_Sutherland_%28cropped%29.JPG,No Award,22,53,Actor,0,0,1,21
Dustin Hoffman,M,1937,1967,The Graduate,1980,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/7/7e/Dustin_Hoffman_Quartet_avp_2013_2.jpg,Other,63,117,Actor,2,0,2,59
Ed Sullivan,M,1901,1948,Toast of the Town,1956,1973,1974,https://upload.wikimedia.org/wikipedia/commons/e/ea/Ed_Sullivan.jpg,Other,3,3,Actor,0,0,0,3
Eddie Murphy,M,1961,1980,Saturday Night Live,2001,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/5/5f/Eddie_Murphy_by_David_Shankbone.jpg,Emmy,43,144,Actor,0,1,1,41
Elton John,M,1947,1972,Honky Chateau,1987,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/d/d2/Elton_John_2022.jpg,No Award,27,99,Singer,2,6,0,19
Elvis Presley,M,1935,1956,Heartbreak Hotel,1959,1977,1977,https://upload.wikimedia.org/wikipedia/commons/9/99/Elvis_Presley_promoting_Jailhouse_Rock.jpg,No Award,12,29,Singer,0,5,0,7
Frank Sinatra,M,1915,1940,I'll Never Smile Again,1946,1980,1998,https://upload.wikimedia.org/wikipedia/commons/e/e3/Frank_Sinatra_%281957_studio_portrait_close-up%29.jpg,No Award,34,76,Singer,1,12,0,21
Gene Hackman,M,1930,1967,Bonnie and Clyde,1971,2004,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/4d/GeneHackmanJun08.jpg,Other,33,72,Actor,2,0,0,31
George Michael,M,1963,1984,Wake Me Up Before You Go-Go,1988,2004,2016,https://upload.wikimedia.org/wikipedia/commons/f/f2/George_Michael.jpeg,No Award,6,23,Singer,0,2,0,4
Gregory Peck,M,1916,1944,The Keys of the Kingdom,1962,1991,2003,https://upload.wikimedia.org/wikipedia/commons/2/28/Gregory_Peck_1948.jpg,No Award,36,59,Actor,1,0,0,35
Greta Garbo,F,1905,1930,Anna Christie,1954,1941,1990,https://upload.wikimedia.org/wikipedia/commons/5/57/Garbo_in_Inspiration.jpg,Other,11,17,Actor,0,0,0,11
Humphrey Bogart,M,1899,1936,The Petrified Forest,1951,1956,1957,https://upload.wikimedia.org/wikipedia/commons/8/84/Humphrey_Bogart_1940.jpg,No Award,6,19,Actor,1,0,0,5
James Dean,M,1931,1953,East of Eden,1955,1955,1955,https://upload.wikimedia.org/wikipedia/commons/e/e6/James_Dean_in_Rebel_Without_a_Cause.jpg,Other,7,11,Actor,0,0,0,7
Jay Leno,M,1950,1992,The Tonight Show,1995,2014,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/4e/Jay_Leno_2019_crop.jpg,Emmy,6,33,Actor,0,0,2,4
Jennifer Aniston,F,1969,1994,Friends,2002,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/1/16/JenniferAnistonHWoFFeb2012.jpg,Emmy,43,135,Actor,0,0,1,42
Jerry Seinfeld,M,1954,1988,Seinfeld,1992,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/a/a4/Jerry_Seinfeld_2016_-_2.jpg,Emmy,20,67,Actor,0,0,1,19
Jimmy Page,M,1944,1969,Led Zeppelin 2,1999,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/9/9f/Jimmy_Page_at_the_Echo_music_award_2013.jpg,No Award,3,7,Singer,0,2,0,1
Jimmy Stewart,M,1908,1938,You Can't Take it With You,1941,1980,1997,https://upload.wikimedia.org/wikipedia/commons/e/e8/Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg,No Award,31,53,Actor,1,0,0,30
Joan Crawford,F,1904,1928,Our Dancing Daughters,1946,1970,1977,https://upload.wikimedia.org/wikipedia/commons/1/1f/Joan_Crawford_in_1935.jpg,No Award,12,20,Actor,1,0,0,11
John Lennon,M,1940,1963,I Want to Hold Your Hand,1965,1980,1980,https://upload.wikimedia.org/wikipedia/commons/d/db/John_Lennon%2C_1974_%28restored_cropped%29.jpg,Other,22,55,Singer,1,8,0,13
John Wayne,M,1907,1939,Stagecoach,1970,1976,1979,https://upload.wikimedia.org/wikipedia/commons/7/7b/John_Wayne_-_still_portrait.jpg,No Award,27,45,Actor,1,0,0,26
Johnny Carson,M,1925,1962,The Tonight Show Starring Johnny Carson,1976,1992,2005,https://upload.wikimedia.org/wikipedia/commons/6/62/Johnny_Carson_1965.jpg,Emmy,16,29,Actor,0,0,5,11
Johnny Depp,M,1963,1987,21 Jump Street,No Awards Won,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/21/Johnny_Depp_2020.jpg,No Award,73,232,Actor,0,0,0,73
Justin Timberlake,M,1981,2000,No Strings Attached,2004,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/e/ed/Justin_Timberlake_by_Gage_Skidmore_2.jpg,No Award,55,185,Singer,0,10,4,41
Katherine Hepburn,F,1907,1933,Morning Glory,1933,1994,2003,https://upload.wikimedia.org/wikipedia/commons/8/89/Katharine_Hepburn_publicity_photograph.jpg,Oscar,28,65,Actor,4,0,1,23
Keifer Sutherland,M,1966,2001,24,2006,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/6/63/Kiefer_Sutherland_2_SDCC_2014.jpg,Emmy,21,82,Actor,0,0,1,20
Kirk Douglas,M,1916,1949,Champion,1996,2004,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/48/Studio_publicity_Kirk_Douglas.jpg,No Award,34,59,Actor,0,0,0,34
Lady Gaga,F,1986,2008,The Fame,2010,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/0/0e/Lady_Gaga_at_Joe_Biden%27s_inauguration_%28cropped_5%29.jpg,Other,68,239,Singer,1,12,0,55
Leonard Bernstein,M,1918,1957,West Side Story,1962,1989,1990,https://upload.wikimedia.org/wikipedia/commons/6/6a/Leonard_Bernstein_by_Jack_Mitchell.jpg,No Award,55,82,Singer,0,17,7,31
Leonardo DiCaprio,M,1974,1997,Titanic,2016,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/e/e0/Leonardo_di_Caprio_%2823531475691%29_%28cropped%29.jpg,Other,101,355,Actor,1,0,0,100
Louis Armstrong,M,1901,1964,"Hello, Dolly!",1993,1970,1971,https://upload.wikimedia.org/wikipedia/commons/0/0e/Louis_Armstrong_restored.jpg,Grammy,2,4,Singer,0,2,0,0
Madonna,F,1958,1984,Like A Virgin,1992,2015,Not Dead,https://upload.wikimedia.org/wikipedia/commons/7/78/MadonnaO2171023_%2897_of_133%29_%2853269593787%29_%28cropped%29.jpg,No Award,49,158,Singer,0,6,0,43
Mariah Carey,F,1969,1990,Mariah Carey,1991,2014,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/22/Mariah_Carey_Library_of_Congress_2023_1_Cropped_3.png,Other,75,208,Singer,0,6,0,69
Marlon Brando,M,1924,1951,Streetcar Named Desire,1953,2001,2004,https://upload.wikimedia.org/wikipedia/commons/5/53/Marlon_Brando_publicity_for_One-Eyed_Jacks.png,Other,34,70,Actor,2,0,1,31
Mary Tyler Moore,F,1936,1961,The Dick Van Dyke Show,1964,2013,Not Dead,https://upload.wikimedia.org/wikipedia/commons/8/84/Mary_Tyler_Moore_sitting_before_dressing_table%2C_1978_%28Cropped%29.jpg,Emmy,30,60,Actor,0,0,7,23
Meryl Streep,F,1949,1978,The Deer Hunter,1980,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/0/0a/Meryl_Streep_December_2018_%28cropped%29.jpg,Other,177,540,Actor,3,0,3,171
Mick Jagger,M,1943,1965,(I Can't Get No) Satisfaction,1987,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/7/7a/RStonesHydePark030722_%2849_of_125%29_%2852193656268%29_%28cropped%29.jpg,No Award,10,15,Singer,0,0,0,10
Morgan Freeman,M,1937,1989,Driving Miss Daisy and Glory,2005,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/4/42/Morgan_Freeman_at_The_Pentagon_on_2_August_2023_-_230802-D-PM193-3363_%28cropped%29.jpg,Other,65,147,Actor,1,0,0,64
Oprah Winfrey,F,1954,1985,The Color Purple,1987,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/f/f6/Pre_Inaugural_Reception_%2852639556983%29_%28cropped%29.jpg,No Award,53,145,Actor,0,0,18,35
Paul McCartney,M,1942,1963,I Want to Hold Your Hand,1965,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/22/Paul_McCartney_2021_%28cropped%29.jpg,Other,31,118,Singer,1,14,0,16
Paul Newman,M,1925,1958,Cat on a Hot Tin Roof,1986,2005,2008,https://upload.wikimedia.org/wikipedia/commons/6/67/Paul_Newman_-_1958.jpg,No Award,38,108,Actor,1,0,1,36
Peter O'Toole,M,1932,1962,Lawrence of Arabia,2002,2013,2013,https://upload.wikimedia.org/wikipedia/commons/1/19/David_di_Donatello_1970_Loren_O%27Toole_%28cropped%29.jpg,Other,28,76,Actor,0,0,1,27
Prince,M,1958,1979,Prince,1984,2016,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Prince_1981.jpg/330px-Prince_1981.jpg,Other,26,100,Singer,1,7,0,18
Robert Redford,M,1936,1969,Butch Cassidy and the Sundance Kid,1980,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/2d/Robert_Redford_%28cropped%29.jpg,Other,43,98,Actor,1,0,0,42
Sidney Poitier,M,1927,1955,Blackboard Jungle,1964,2008,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/29/Sidney_Poitier_1968.jpg,No Award,28,69,Actor,1,1,0,26
Sly Stone,M,1943,1968,Everyday People,2017,1971,Not Dead,https://upload.wikimedia.org/wikipedia/commons/f/f4/Sly_and_the_Family_Stone_%28cropped%29.jpg,No Award,1,1,Singer,0,1,0,0
Stevie Wonder,M,1950,1963,Fingertips,1973,2005,Not Dead,https://upload.wikimedia.org/wikipedia/commons/8/8f/Stevie_Wonder_1994.jpg,No Award,37,99,Singer,1,24,0,12
Tom Hanks,M,1956,1984,Splash,1993,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/a/a9/Tom_Hanks_TIFF_2019.jpg,No Award,91,290,Actor,2,0,7,82
Tony Bennett,M,1926,1951,Because of You,1963,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/2/29/Tony_Bennett_%2812462253053%29_%281%29.jpg,No Award,24,55,Singer,0,20,2,2
Wayne Newton,M,1942,1972,"Daddy, Don't You Walk So Fast",No Awards Won,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/3/3b/Wayne_Newton_in_Washington_D.C.jpg,No Award,1,4,Actor,0,0,0,1
Will Smith,M,1968,1990,The Fresh Prince of Bel-Air,1988,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg,No Award,70,231,Actor,0,4,0,66
Willie Nelson,M,1933,1975,Red Headed Stranger,1976,2016,Not Dead,https://upload.wikimedia.org/wikipedia/commons/0/03/Willie_UK2K7_2.JPG,No Award,24,50,Singer,0,15,0,9
